epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,5994.07,1.14559,1.41032,1.11535,0.43791,0.35292,0.3226,0.22639,1.07493,1.44477,1.09838,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6078.31,1.14773,1.40394,1.11466,0.43957,0.3539,0.32309,0.22713,1.07434,1.4461,1.09825,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6162.76,1.14069,1.39872,1.11266,0.44167,0.35247,0.32299,0.22691,1.07302,1.44611,1.09755,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6244.38,1.13813,1.3983,1.11102,0.44614,0.35118,0.32303,0.22702,1.07268,1.44639,1.09769,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6328.69,1.13236,1.37929,1.10748,0.4413,0.35336,0.32309,0.22695,1.07204,1.44596,1.09762,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6413.58,1.12922,1.37473,1.10803,0.44184,0.35243,0.3236,0.2273,1.07222,1.445,1.09756,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6496.61,1.12352,1.36621,1.10668,0.4399,0.35293,0.32306,0.22714,1.07201,1.44559,1.09739,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6579.59,1.12691,1.36862,1.1037,0.44191,0.35298,0.32323,0.22726,1.07294,1.44571,1.09736,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6662.88,1.1242,1.36075,1.10352,0.43812,0.35262,0.32313,0.22755,1.07335,1.44696,1.09688,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6745.97,1.12932,1.35686,1.10237,0.44642,0.35119,0.32429,0.22836,1.07337,1.44657,1.09646,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6827.87,1.11649,1.34479,1.09688,0.44277,0.35437,0.32394,0.22852,1.07358,1.44636,1.0967,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6912.99,1.11265,1.33644,1.09904,0.44503,0.35304,0.32389,0.2286,1.07317,1.44646,1.09649,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6996.45,1.1107,1.33583,1.09661,0.44382,0.35217,0.32457,0.22924,1.07218,1.44679,1.09583,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7080.25,1.11169,1.33231,1.09613,0.44145,0.35315,0.32415,0.22921,1.07271,1.44624,1.09588,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7163.79,1.11222,1.32363,1.09416,0.439,0.35397,0.32382,0.22896,1.07204,1.44538,1.09545,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7247.35,1.10184,1.31325,1.09033,0.44076,0.35354,0.32323,0.22847,1.07175,1.44581,1.09559,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7330.32,1.09698,1.3052,1.09103,0.44053,0.35458,0.32361,0.2286,1.07199,1.44683,1.09565,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7414.06,1.09597,1.29317,1.08637,0.44201,0.35309,0.32327,0.22846,1.07224,1.44701,1.09617,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7498.63,1.09615,1.29931,1.08835,0.44008,0.35344,0.32405,0.22861,1.07167,1.44691,1.09603,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7582.5,1.09348,1.28872,1.08478,0.44277,0.35417,0.32402,0.22852,1.07107,1.4474,1.09578,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,7666.54,1.08978,1.28425,1.08662,0.44451,0.3542,0.32411,0.22831,1.06998,1.44678,1.09512,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,7750.54,1.08731,1.27998,1.08291,0.44558,0.35391,0.32445,0.22843,1.06965,1.44663,1.09503,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7834.42,1.08614,1.27207,1.08542,0.44774,0.35308,0.32403,0.22829,1.06979,1.44737,1.09539,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7918.76,1.07818,1.25712,1.07981,0.44838,0.35267,0.32432,0.2284,1.06963,1.44779,1.09519,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,8002.41,1.07047,1.24175,1.07373,0.45014,0.35178,0.32381,0.22848,1.06987,1.44822,1.09506,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,8085.26,1.07112,1.25372,1.07549,0.4502,0.35057,0.32383,0.22879,1.07028,1.44908,1.09509,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8168.19,1.07202,1.23316,1.07264,0.45217,0.34742,0.32348,0.22868,1.07006,1.44944,1.095,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8252.44,1.04611,1.15686,1.06218,0.45649,0.34528,0.32376,0.22875,1.07031,1.44948,1.09478,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
